At time 328, Job46 arrives.
At time 329, Job4 arrives at Disk.
At time 333, Job52 arrives.
At time 334, Job10 finished I/O at Disk 2.
At time 336, Job13 finishes at CPU.
At time 339, Job49 arrives.
At time 341, Job8 arrives.
At time 341, Job51 arrives.
At time 344, Job53 arrives.
At time 345, Job55 arrives.
At time 348, Job1 arrives at Disk.
At time 348, Job54 arrives.
At time 348, Job57 arrives.
At time 349, Job50 arrives.
At time 350, Job12 finishes at CPU.
At time 352, Job56 arrives.
At time 359, Job61 arrives.
At time 359, Job11 finished I/O at Disk 2.
At time 361, Job58 arrives.
At time 361, Job62 arrives.
At time 366, Job12 arrives at Disk.
At time 367, Job15 finishes at CPU.
At time 367, Job15 exits.
At time 368, Job63 arrives.
At time 369, Job10 arrives.
At time 370, Job64 arrives.
At time 370, Job66 arrives.
At time 373, Job13 arrives at Disk.
At time 373, Job60 arrives.
At time 375, Job59 arrives.
At time 376, Job68 arrives.
At time 379, Job65 arrives.
At time 385, Job4 finished I/O at Disk 2.
At time 385, Job16 finishes at CPU.
At time 385, Job74 arrives.
At time 386, Job11 arrives.
At time 387, Job67 arrives.
At time 392, Job70 arrives.
At time 393, Job73 arrives.
At time 395, Job69 arrives.
At time 395, Job4 arrives.
At time 395, Job14 finishes at CPU.
At time 395, Job14 exits.
At time 398, Job77 arrives.
At time 400, Job71 arrives.
At time 402, Job75 arrives.
At time 404, Job72 arrives.
At time 410, Job79 arrives.
At time 410, Job86 arrives.
At time 414, Job82 arrives.
At time 415, Job76 arrives.
At time 418, Job20 finishes at CPU.
At time 421, Job16 arrives at Disk.
At time 421, Job89 arrives.
At time 423, Job80 arrives.
At time 423, Job83 arrives.
At time 425, Job78 arrives.
At time 425, Job90 arrives.
At time 429, Job81 arrives.
At time 430, Job85 arrives.
At time 432, Job88 arrives.
At time 433, Job87 arrives.
At time 433, Job19 finishes at CPU.
At time 435, Job84 arrives.
At time 438, Job20 arrives at Disk.
At time 439, Job96 arrives.
At time 439, Job97 arrives.
At time 440, Job92 arrives.
At time 442, Job98 arrives.
At time 443, Job91 arrives.
At time 444, Job1 finished I/O at Disk 2.
At time 447, Job19 arrives at Disk.
At time 449, Job103 arrives.
At time 450, Job93 arrives.
At time 452, Job17 finishes at CPU.
At time 452, Job17 exits.
At time 456, Job94 arrives.
At time 458, Job99 arrives.
At time 458, Job1 arrives.
At time 459, Job95 arrives.
At time 459, Job100 arrives.
At time 460, Job104 arrives.
At time 464, Job101 arrives.
At time 464, Job106 arrives.
At time 469, Job21 finishes at CPU.
At time 470, Job110 arrives.
At time 471, Job12 finished I/O at Disk 2.
At time 475, Job102 arrives.
At time 476, Job112 arrives.
At time 478, Job105 arrives.
At time 479, Job114 arrives.
At time 482, Job107 arrives.
At time 482, Job115 arrives.
At time 484, Job108 arrives.
At time 486, Job12 arrives.
At time 490, Job109 arrives.
At time 490, Job18 finishes at CPU.
At time 491, Job116 arrives.
At time 491, Job117 arrives.
At time 491, Job120 arrives.
At time 492, Job113 arrives.
At time 497, Job111 arrives.
At time 499, Job21 arrives at Disk.
At time 500, Job123 arrives.
At time 500, Job127 arrives.
At time 502, Job126 arrives.
At time 503, Job119 arrives.
At time 504, Job18 arrives at Disk.
At time 506, Job121 arrives.
At time 508, Job118 arrives.
At time 508, Job22 finishes at CPU.
At time 509, Job131 arrives.
At time 515, Job124 arrives.
At time 515, Job128 arrives.
At time 519, Job122 arrives.
At time 522, Job132 arrives.
At time 524, Job125 arrives.
At time 524, Job16 finished I/O at Disk 2.
At time 527, Job130 arrives.
At time 527, Job133 arrives.
At time 528, Job6 finishes at CPU.
At time 528, Job140 arrives.
At time 529, Job138 arrives.
At time 529, Job139 arrives.
At time 530, Job129 arrives.
At time 535, Job137 arrives.
At time 535, Job22 arrives at Disk.
At time 540, Job134 arrives.
At time 541, Job135 arrives.
At time 541, Job146 arrives.
At time 542, Job136 arrives.
At time 542, Job147 arrives.
At time 543, Job16 arrives.
At time 544, Job141 arrives.
At time 544, Job142 arrives.
At time 544, Job145 arrives.
At time 544, Job150 arrives.
At time 548, Job25 finishes at CPU.
At time 550, Job143 arrives.
At time 553, Job153 arrives.
At time 554, Job6 arrives at Disk.
At time 555, Job154 arrives.
At time 556, Job144 arrives.
At time 556, Job158 arrives.
At time 557, Job151 arrives.
At time 557, Job155 arrives.
At time 558, Job20 finished I/O at Disk 2.
At time 558, Job160 arrives.
At time 561, Job157 arrives.
At time 563, Job149 arrives.
At time 564, Job23 finishes at CPU.
At time 564, Job23 exits.
At time 567, Job156 arrives.
At time 568, Job169 arrives.
At time 569, Job148 arrives.
At time 569, Job163 arrives.
At time 575, Job152 arrives.
At time 576, Job25 arrives at Disk.
At time 577, Job171 arrives.
At time 578, Job27 finishes at CPU.
At time 582, Job159 arrives.
At time 582, Job172 arrives.
At time 582, Job174 arrives.
At time 584, Job161 arrives.
At time 584, Job162 arrives.
At time 584, Job164 arrives.
At time 585, Job173 arrives.
At time 587, Job165 arrives.
At time 588, Job168 arrives.
At time 589, Job175 arrives.
At time 594, Job166 arrives.
At time 594, Job167 arrives.
At time 594, Job20 arrives.
At time 594, Job170 arrives.
At time 594, Job181 arrives.
At time 597, Job182 arrives.
At time 600, Job177 arrives.
At time 602, Job29 finishes at CPU.
At time 604, Job186 arrives.
At time 605, Job27 arrives at Disk.
At time 607, Job180 arrives.
At time 610, Job188 arrives.
At time 610, Job191 arrives.
At time 612, Job176 arrives.
At time 612, Job183 arrives.
At time 613, Job185 arrives.
At time 614, Job194 arrives.
At time 615, Job29 arrives at Disk.
At time 616, Job189 arrives.
At time 616, Job24 finishes at CPU.
At time 617, Job192 arrives.
At time 619, Job178 arrives.
At time 621, Job190 arrives.
